OBJECTID,Name,Jurisdiction,Area_km2,Accessible,Bridge to,Jumps,Buffer Distance (km)
1019,Price Island,BRITISH COLUMBIA,168.4775364,yes,no,3,1.1
1125,Princess Alice Island,BRITISH COLUMBIA,5.911292352,yes,no,5,1.1
5121,Princess Royal Island,BRITISH COLUMBIA,2277.624893,yes,no,1,1.1
5268,Prior Island,BRITISH COLUMBIA,4.067918613,no,no,NA,NA
5046,Promise Island,BRITISH COLUMBIA,13.69327952,yes,no,1,1.1
394,Protection Island,USA,1.531513174,yes,no,1,1.1
3389,Quadra Island,BRITISH COLUMBIA,271.6457289,yes,no,2,1.1
5534,Randall Island,BRITISH COLUMBIA,1.125595374,no,no,NA,NA
2520,Raza Island,BRITISH COLUMBIA,16.86160421,yes,no,1,2
3460,Read Island,BRITISH COLUMBIA,57.58242,yes,no,3,1.1
5337,Reef Island,BRITISH COLUMBIA,2.483272734,no,no,NA,NA
2760,Rees Island,BRITISH COLUMBIA,1.059111645,yes,no,2,1.1
3438,Rendezvous Islands A,BRITISH COLUMBIA,1.570001152,yes,no,2,1.1
3468,Rendezvous Islands B,BRITISH COLUMBIA,1.19767659,yes,no,2,1.1
607,Rennison Island,BRITISH COLUMBIA,14.61048299,yes,no,4,2
610,Richardson Island,BRITISH COLUMBIA,9.619104167,no,no,NA,NA
1666,Ripon Island,BRITISH COLUMBIA,8.694717254,yes,no,2,1.1
4997,Rix Island,BRITISH COLUMBIA,2.657082582,yes,no,1,2
651,Roderick Island,BRITISH COLUMBIA,238.8531306,yes,no,1,1.1
4350,Ruxton Island,BRITISH COLUMBIA,1.022557464,yes,no,5,1.1
341,Salal Island,BRITISH COLUMBIA,1.531698153,yes,no,2,1.1
4577,Salt Spring Island,BRITISH COLUMBIA,185.325195,yes,no,3,1.1
4648,Samuel Island,BRITISH COLUMBIA,1.924946392,yes,no,6,1.1
1,San Juan Island,USA,143.8694348,no,no,NA,NA
5122,Sandilands Island,BRITISH COLUMBIA,2.730588236,no,no,NA,NA
604,Sarah Island,BRITISH COLUMBIA,92.72927822,yes,no,1,1.1
4667,Saturna Island,BRITISH COLUMBIA,32.16051556,yes,no,6,1.1
3855,Savary Island,BRITISH COLUMBIA,4.96886599,yes,no,1,2
2625,Scott Islands,BRITISH COLUMBIA,10.57916515,no,no,NA,NA
5856,Shakes Islands,BRITISH COLUMBIA,1.025311814,yes,no,4,1.1
29,Shaw Island,USA,19.95641755,no,no,NA,NA
667,Shuttle Island,BRITISH COLUMBIA,2.527710103,no,no,NA,NA
224,Sidney Island,BRITISH COLUMBIA,8.751505222,yes,no,4,2
220,Sinclair Island,USA,4.107599931,yes,no,3,2
4726,Sine Island,BRITISH COLUMBIA,1.552618087,yes,no,2,1.1
5919,Smith Island,BRITISH COLUMBIA,49.32538833,yes,no,1,1.1
5455,Somerville Island,BRITISH COLUMBIA,54.46080669,yes,no,1,1.1
2407,Sonora Island,BRITISH COLUMBIA,165.1044183,yes,no,1,1.1
4698,South Pender Island,BRITISH COLUMBIA,9.19827162,yes,no,7,1.1
528,South Spicer Island,BRITISH COLUMBIA,1.958872546,yes,no,3,1.1
480,Spicer Island,BRITISH COLUMBIA,11.56770418,yes,no,3,1.1
1409,Spider Island,BRITISH COLUMBIA,4.841069287,yes,no,3,1.1
214,Spieden Island,USA,2.088427977,no,no,NA,NA
989,Spiller Channel Island A,BRITISH COLUMBIA,4.254258715,yes,no,1,1.1
1411,Spitfire Island,BRITISH COLUMBIA,1.113593715,yes,no,3,1.1
3801,Spring Island,BRITISH COLUMBIA,1.113962714,yes,no,4,1.1
4717,Squall Island,BRITISH COLUMBIA,1.140725352,yes,no,3,1.1
6009,Squaxin Island,USA,5.783805589,yes,no,1,1.1
2347,Staples Island,BRITISH COLUMBIA,2.241522865,yes,no,6,2
5885,Stephens Island,BRITISH COLUMBIA,68.97720503,yes,no,4,2
1513,Stirling Island,BRITISH COLUMBIA,12.40138329,yes,no,3,1.1
4549,Stopper Islands,BRITISH COLUMBIA,1.015251574,yes,no,3,1.1
4231,Strange Island,BRITISH COLUMBIA,5.095529838,yes,no,3,1.1
6000,Stretch Island,USA,1.220283931,yes,yes,1,1.1
1589,Stryker Island,BRITISH COLUMBIA,9.886533178,yes,no,4,1.1
183,Stuart Island,USA,7.461913405,no,no,NA,NA
2449,Stuart Island B,BRITISH COLUMBIA,16.95792498,yes,no,1,1.1
4691,Sucia Islands,USA,2.262431492,no,no,NA,NA
894,Susan Island,BRITISH COLUMBIA,50.61670165,yes,no,2,1.1
3033,Swanson Island,BRITISH COLUMBIA,6.554097192,yes,no,3,1.1
771,Swindle Island,BRITISH COLUMBIA,292.1274206,yes,no,2,1.1
2114,Table Island,BRITISH COLUMBIA,1.070736866,no,no,NA,NA
4713,Tangent Island,BRITISH COLUMBIA,1.687440556,yes,no,2,1.1
5390,Tanu Island,BRITISH COLUMBIA,22.3712426,no,no,NA,NA
4019,Texada Island,BRITISH COLUMBIA,301.3693536,no,no,NA,NA
4521,Thetis Island,BRITISH COLUMBIA,11.26149403,yes,no,6,1.1
3941,Thormanby Island,BRITISH COLUMBIA,9.401115445,yes,no,1,1.1
2818,Tracy Island,BRITISH COLUMBIA,2.013710601,yes,no,3,1.1
2337,Triangle Island,BRITISH COLUMBIA,1.132371769,no,no,NA,NA
1247,Tribal Group Islands,BRITISH COLUMBIA,1.956903555,yes,no,4,1.1
1479,Triquet Island,BRITISH COLUMBIA,1.113307869,yes,no,5,1.1
5479,Truro Island,BRITISH COLUMBIA,1.535171524,yes,no,2,1.1
5710,Tugwell Island,BRITISH COLUMBIA,1.512384748,yes,no,2,1.1
4678,Tumbo Island,BRITISH COLUMBIA,1.212714966,yes,no,7,1.1
3037,Turnour Island,BRITISH COLUMBIA,54.47621341,yes,no,2,1.1
4888,Turret Island,BRITISH COLUMBIA,1.009192987,yes,no,6,1.1
5110,Turtle Island,BRITISH COLUMBIA,1.085508641,yes,no,5,1.1
3746,Twin Islands,BRITISH COLUMBIA,2.888013073,yes,no,4,2
4593,Tzartus Island,BRITISH COLUMBIA,17.30959785,yes,no,3,1.1
1512,Underhill Island,BRITISH COLUMBIA,2.608433904,yes,no,3,1.1
3741,Union Island,BRITISH COLUMBIA,28.84066616,yes,no,3,1.1
5538,Unnamed Dundas Island Satellite,BRITISH COLUMBIA,2.701330462,no,no,NA,NA
5638,Unnamed Dunira Island Satellite,BRITISH COLUMBIA,1.294940664,no,no,NA,NA
539,Unnamed Graham Island Satellite A,BRITISH COLUMBIA,1.44307309,no,no,NA,NA
5014,Unnamed Graham Island Satellite B,BRITISH COLUMBIA,2.343988741,no,no,NA,NA
5128,Unnamed Graham Island Satellite C,BRITISH COLUMBIA,36.88475988,no,no,NA,NA
5785,Unnamed Graham Island Satellite D,BRITISH COLUMBIA,35.97697532,no,no,NA,NA
475,"Unnamed Island A, Masset Inlet",BRITISH COLUMBIA,2.591243388,no,no,NA,NA
540,"Unnamed Island B, Masset Inlet",BRITISH COLUMBIA,2.196596726,no,no,NA,NA
5680,Unnamed Melville Island Satellite,BRITISH COLUMBIA,1.205196688,no,no,NA,NA
759,Unnamed Moresby Island Satellite A,BRITISH COLUMBIA,16.23596696,no,no,NA,NA
5346,Unnamed Moresby Island Satellite B,BRITISH COLUMBIA,44.07675985,no,no,NA,NA
4462,Valdes Island,BRITISH COLUMBIA,24.27673836,yes,no,4,1.1
2522,Vancouver Island,BRITISH COLUMBIA,31788.81956,yes,no,2,1.1
2316,Vansittart Island,BRITISH COLUMBIA,1.220438175,yes,no,4,2
4408,Vargas Island,BRITISH COLUMBIA,30.59533233,yes,no,3,1.1
5991,Vashon Island,USA,95.86852823,yes,no,1,2
